iter	Passed	Remaining
655	12776	13341
656	12788	13314
657	12800	13287
658	12822	13269
659	12843	13251
660	12855	13224
661	12880	13211
662	12903	13195
663	12915	13167
664	12940	13154
665	12966	13141
666	12978	13114
667	12990	13088
668	13008	13066
669	13026	13046
670	13051	13031
671	13070	13012
672	13094	12997
673	13112	12976
674	13129	12954
675	13153	12939
676	13185	12932
677	13203	12911
678	13224	12893
679	13242	12872
680	13264	12855
681	13286	12838
682	13304	12817
683	13321	12795
684	13339	12774
685	13360	12757
686	13378	12735
687	13395	12714
688	13418	12697
689	13439	12680
690	13461	12662
691	13483	12645
692	13502	12625
693	13519	12604
694	13541	12586
695	13563	12569
696	13580	12547
697	13597	12526
698	13615	12505
699	13633	12484
700	13656	12468
701	13678	12451
702	13699	12432
703	13718	12412
704	13738	12393
705	13757	12373
706	13775	12352
707	13793	12332
708	13811	12311
709	13835	12296
710	13858	12280
711	13881	12263
712	13902	12244
713	13919	12223
714	13940	12204
715	13957	12183
716	13975	12162
717	13992	12141
718	14017	12126
719	14036	12106
720	14061	12091
721	14085	12075
722	14103	12055
723	14125	12037
724	14145	12019
725	14168	12002
